nm_pol,murder,rape,gangrape,robbery,theft,assualt murders,sexual harassement,totarea,totalcrime,long,lat,crime/area,area
CHITRANJAN PARK,2,6,1,35,442,19,7,2659329.537,512,77.2492,28.53632,192.5297308,2.659329537
DABRI,8,28,0,79,240,26,16,3401013.428,397,77.086,28.61268,116.7299125,3.401013428
MALVIYA NAGAR,3,28,1,33,694,63,15,1379853.572,837,77.20418,28.52989,606.5861022,1.379853572
CHANDNI MAHAL,1,8,1,23,529,19,7,5570696.132,588,77.23608,28.64361,105.5523378,5.570696132
MODEL TOWN,0,4,1,45,393,9,14,2689157.085,466,77.19369,28.70257,173.2885009,2.689157085
ANANDVIHAR,10,14,0,99,457,24,15,4558969.692,619,77.29373,28.65335,135.776292,4.558969692
KASHMERE GATE,0,9,3,17,340,17,12,1627909.974,398,77.22618,28.66645,244.4852641,1.627909974
GOVIND PURI,1,4,3,31,692,5,5,8992712.06,741,77.26532,28.53067,82.40005852,8.99271206
BINDAPUR,4,4,1,64,417,11,8,2568079.5,509,77.06618,28.6091,198.2025868,2.5680795
NEW FRIENDS COLONY,6,7,1,47,609,14,10,4045386.71,694,77.2676,28.56234,171.5534385,4.04538671
SARITA VIHAR,1,12,0,12,211,8,1,7942774.025,245,77.30617,28.52299,30.84564653,7.942774025
TIMARPUR,8,17,1,60,626,23,5,6149745.104,740,77.2242,28.7072,120.3301905,6.149745104
KANJHAWALA,1,5,2,15,307,21,10,35490190.9,361,77.00361,28.72582,10.17182469,35.4901909
ANAND PARBAT,5,20,1,77,374,35,9,1948430.286,521,77.17376,28.66004,267.394735,1.948430286
SAGARPUR,2,7,0,11,180,4,4,1283551.172,208,77.08644,28.59139,162.0504149,1.283551172
PRASHANT VIHAR,7,8,0,41,457,39,14,2076678.927,566,77.12757,28.71793,272.5505578,2.076678927
SOUTH CAMPUS,10,11,1,38,248,8,9,4518856.098,325,77.179,28.57051,71.92085629,4.518856098
ROHINI SOUTH,6,14,0,96,560,24,5,2649542.395,705,77.1159,28.70236,266.0836835,2.649542395
PUNJABI BAGH,9,24,0,64,1251,54,19,2577310.64,1421,77.13276,28.67441,551.349914,2.57731064
DWARKA NORTH,3,2,0,10,104,10,13,30068547.98,142,77.01564,28.60369,4.722542641,30.06854798
BURARI,3,12,0,56,562,21,17,11333876.3,671,77.19735,28.73664,59.203046,11.3338763
JAMA MASJID,4,19,0,13,317,10,1,3817050.224,364,77.23362,28.65284,95.36159563,3.817050224
ADRASH NAGAR,3,15,0,41,354,18,3,1646190.527,434,77.17532,28.70984,263.6389852,1.646190527
CHANAKYAPURI,1,7,2,40,649,20,4,10993452.52,723,77.19606,28.60337,65.76641857,10.99345252
PANDAV NAGAR,5,16,3,27,351,23,10,1470612.978,435,77.30265,28.62038,295.7950231,1.470612978
MIANWALI NAGAR,1,12,1,46,400,27,8,1729847.853,495,77.08879,28.67965,286.1523337,1.729847853
FATEHPUR BERI,7,10,0,60,683,7,9,35895594.95,776,77.15114,28.46549,21.61825152,35.89559495
NABI KARIM,4,4,0,29,612,6,5,1799866.446,660,77.21754,28.64981,366.6938741,1.799866446
RAJOURI GARDEN,1,7,0,37,567,20,4,1731624.057,636,77.11992,28.63969,367.2852645,1.731624057
JAHANGIR PURI,1,23,1,17,441,36,6,2463668.046,525,77.17487,28.73358,213.0968906,2.463668046
KAMLA MARKET,4,11,0,5,107,7,5,3095888.323,139,77.22621,28.64295,44.89826037,3.095888323
BARAKHAMBA ROAD,9,14,1,125,808,16,38,3748441.999,1011,77.22498,28.63089,269.7120565,3.748441999
SAFDARJUNG ENCLAVE,2,7,0,1,83,3,10,2366255.942,106,77.20489,28.56934,44.79650663,2.366255942
MUKHERJI NAGAR,1,8,0,54,789,14,7,6149745.104,873,77.20856,28.70024,141.9571031,6.149745104
FARASH BAZAR,6,3,1,20,374,14,9,1721757.744,427,77.29224,28.66879,248.0023694,1.721757744
KALKAJI,2,9,0,17,141,8,2,2659329.537,179,77.25743,28.53321,67.31019886,2.659329537
KALKAJI,2,9,0,17,141,8,2,2745338.744,179,77.25644,28.54728,65.20142565,2.745338744
PARSHAD NAGAR,1,12,2,36,466,6,13,4104570.166,536,77.18053,28.64784,130.5861462,4.104570166
LODHI COLONY,0,5,0,17,168,13,5,2116960.63,208,77.24047,28.58744,98.25407096,2.11696063
INDERPURI,0,13,0,17,212,31,5,1255396.299,278,77.14501,28.63077,221.4440175,1.255396299
OKHLA,6,27,3,8,174,13,13,1716036.19,244,77.27462,28.52678,142.1881435,1.71603619
SAMAYPURBADLI,0,2,0,5,74,7,2,3249865.013,90,77.14219,28.72516,27.69345792,3.249865013
JAFFARPUR KALAN,2,11,1,35,719,8,5,70469487.22,781,76.91555,28.59572,11.08281089,70.46948722
MAYA PURI,3,21,2,17,256,28,17,2553754.816,344,77.12084,28.62657,134.7036128,2.553754816
AMAN VIHAR,10,14,1,84,487,25,12,3296887.934,633,77.06081,28.70965,191.9992467,3.296887934
VIJAY VIHAR,0,3,0,9,232,6,5,2649542.395,255,77.10186,28.71003,96.24303447,2.649542395
AMAR COLONY,3,14,1,88,484,17,40,1505936.692,647,77.24093,28.55914,429.6329345,1.505936692
ALIPUR,6,15,1,52,320,22,18,51545474.92,434,77.13913,28.79903,8.419749759,51.54547492
MAHENDRA PARK,0,15,2,37,832,28,4,2463668.046,918,77.16418,28.72579,372.6151344,2.463668046
VASANT KUNJ SOUTH,0,1,0,1,65,1,3,14105371.6,71,77.15236,28.53492,5.033543391,14.1053716
BHALSWA DAIRY,2,13,1,28,338,23,12,4498522.05,417,77.16574,28.74286,92.69711149,4.49852205
BAWANA,6,20,3,93,383,13,8,40327922.92,526,77.04254,28.79654,13.04307194,40.32792292
BEGUM PUR,0,4,0,73,413,5,4,35490190.9,499,77.05179,28.72449,14.06022305,35.4901909
NARAINA,2,11,0,28,425,18,12,14937293.49,496,77.13777,28.63356,33.20547998,14.93729349
NEB SARAI,3,20,2,35,626,19,13,8344724.019,718,77.21428,28.49893,86.04239018,8.344724019
RAJINDER NAGAR,1,21,1,31,474,32,11,3013302.528,571,77.18285,28.63505,189.4930876,3.013302528
SHALIMAR BAGH,8,9,0,45,335,13,23,1281611.56,433,77.15712,28.71681,337.855879,1.28161156
KESHAV PURAM,1,43,0,21,336,47,10,1352844.685,458,77.15977,28.68423,338.5458842,1.352844685
